Site ,Plot #,Species Code,Latin Name,Total #,Browsed #,Stump Sprout #,Germinate #
RPD2B5,160,QUAL,Quercus alba,5,NA,NA,NA
RPD2B5,160,QUIL,Quercus ilicifolia,9,NA,NA,NA
RPD2B5,160,QUCO,Quercus coccinea,5,NA,NA,NA
RPD2B5,161,PIRI,Pinus rigida,3,NA,NA,3
RPD2B5,161,QUAL,Quercus alba,1,NA,NA,NA
RPD2B5,162,QUIL,Quercus ilicifolia,2,NA,NA,NA
RPD2B5,162,QUCO,Quercus coccinea,4,1,NA,NA
RPD2B5,162,QUAL,Quercus alba,3,3,NA,NA
RPD2B5,163,QUIL,Quercus ilicifolia,1,NA,NA,NA
RPD2B5,164,PIRI,Pinus rigida,2,NA,NA,2
RPD2B5,165,QUAL,Quercus alba,1,NA,NA,1
RPD2B5,166,PIRI,Pinus rigida,1,NA,NA,1
RPD2B5,167,QUCO,Quercus coccinea,3,NA,3,NA
RPD2B5,168,QUIL,Quercus ilicifolia,2,NA,NA,NA
RPD2B5,168,PIRI,Pinus rigida,1,NA,NA,1
TNCOB1,257,ACRU,Acer rubrum,4,NA,NA,NA
TNCOB1,257,QUIL,Quercus ilicifolia,1,NA,NA,NA
TNCOB1,257,PIRI,Pinus rigida,2,1,NA,NA
TNCOB1,258,PIRI,Pinus rigida,3,NA,NA,NA
TNCOB1,258,AMSP,Amelanchier spp.,5,NA,5,NA
TNCOB1,259,QUIL,Quercus ilicifolia,3,NA,NA,NA
TNCOB1,259,PIRI,Pinus rigida,1,NA,NA,NA
TNCOB1,260,QUIL,Quercus ilicifolia,5,NA,NA,NA
TNCOB1,261,QUIL,Quercus ilicifolia,7,NA,NA,NA
TNCOB1,262,QUIL,Quercus ilicifolia,3,NA,NA,NA
TNCOB1,263,QUIL,Quercus ilicifolia,2,NA,NA,NA
TNCOB1,264,QUIL,Quercus ilicifolia,5,NA,NA,NA
TNCOB1,264,ACRU,Acer rubrum,5,NA,NA,NA
TNCOB1,265,QUIL,Quercus ilicifolia,16,NA,NA,NA
TNCOB1,266,QUIL,Quercus ilicifolia,5,NA,NA,NA
TNCOB1,266,PIRI,Pinus rigida,1,NA,NA,NA
TNCOB1,267,PIRI,Pinus rigida,6,4,NA,NA
TNCOB1,267,QUIL,Quercus ilicifolia,4,NA,NA,NA
TNCOB1,268,QUIL,Quercus ilicifolia,9,NA,NA,NA
TNCOB1,269,ACRU,Acer rubrum,53,53,53,NA
TNCOB1,269,PIRI,Pinus rigida,2,1,NA,NA
TNCOB1,270,QUIL,Quercus ilicifolia,18,NA,NA,NA
TNCOB1,270,PIRI,Pinus rigida,8,NA,8,NA
TNCOB1,271,QUIL,Quercus ilicifolia,23,NA,NA,NA
TNCOB1,272,QUIL,Quercus ilicifolia,2,NA,NA,NA
TNCOB1,272,ACRU,Acer rubrum,2,1,2,NA
TNCOB1,273,ACRU,Acer rubrum,1,NA,NA,NA
TNCOB1,274,QUIL,Quercus ilicifolia,19,NA,NA,NA
TNCOB1,275,QUIL,Quercus ilicifolia,3,NA,NA,NA
TNCOB1,276,QUIL,Quercus ilicifolia,7,NA,NA,NA
TNCOB1,277,QUIL,Quercus ilicifolia,1,NA,NA,NA
TNCOB1,278,PIST,Pinus strobus,1,NA,NA,NA
TNCOB1,278,PIRI,Pinus rigida,2,NA,NA,NA
TNCOB1,278,QUIL,Quercus ilicifolia,1,NA,NA,NA
TNCOB1,279,QUIL,Quercus ilicifolia,1,NA,NA,NA
TNCOB1,280,PIRI,Pinus rigida,2,NA,NA,NA
TNCOB1,280,QUIL,Quercus ilicifolia,17,NA,NA,NA
